State,Delta,Theta,Alpha,Beta,Gamma
Baseline,7293.25,12299.43,10938.54,13100.79,243484.46
Baseline,5364.38,8603.41,8102.60,11062.45,228095.67
Baseline,4645.61,15551.14,7971.76,18506.49,265703.82
Baseline,6363.26,11899.19,5682.42,23572.35,267978.72
Baseline,5579.37,8426.01,6770.61,19306.56,242797.55
Baseline,4096.10,4542.42,4297.34,12330.79,237181.73
Baseline,4009.72,6963.89,7761.53,12914.75,244412.20
Baseline,8110.04,5407.81,4226.55,16776.08,235111.93
Baseline,15737.20,18470.65,13303.74,20000.41,282915.62
Baseline,29705.85,41850.28,18823.32,19612.79,316118.52
Baseline,7886.03,5863.06,6226.41,11747.00,246257.60
Baseline,6920.69,9134.84,5514.34,13295.91,215730.48
Baseline,6818.78,6167.88,3765.26,18973.22,263154.99
Baseline,2723.48,4865.76,3446.82,14393.23,250924.07
Baseline,27048.98,64071.39,27737.44,30329.30,326802.42
Baseline,10089.55,10025.88,9820.54,14061.90,261476.58
Baseline,4483.48,7740.50,5845.60,16972.64,256259.04
Baseline,8066.41,11268.79,10561.92,11275.92,247540.21
Baseline,6721.34,12751.26,8816.45,12800.85,281439.70
Baseline,9590.25,11461.79,3739.14,16143.90,257786.45
Baseline,8096.98,10008.49,8000.64,22973.13,257134.72
Baseline,5433.02,6801.96,5083.66,15742.46,259532.12
Baseline,5535.35,4710.38,5644.91,14806.93,263936.78
Baseline,5044.75,3306.75,4869.57,22503.02,245290.03
Baseline,8579.91,11603.02,8064.65,15509.82,258502.40
Baseline,9873.72,7962.07,5008.41,21068.11,269691.80
Baseline,2557.48,5568.57,4461.72,9029.03,246637.22
Baseline,8502.81,9064.35,8569.15,14928.25,238677.41
Baseline,5216.66,8538.42,4059.92,18811.21,264010.38
Baseline,14835.50,13393.65,5797.07,21353.80,266711.67
Baseline,3179.88,3270.86,3234.43,11193.19,237914.74
Baseline,2451.44,6589.09,5201.33,15111.88,256876.95
Baseline,11389.67,5784.53,5169.94,16783.94,256075.13
Baseline,7741.91,16110.17,5963.73,12792.85,247881.62
Baseline,9996.81,3285.84,3821.00,25920.70,242538.39
Baseline,5969.65,7490.36,5482.07,12365.22,253614.12
Baseline,5397.76,18274.93,7182.55,15075.40,249272.05
Baseline,36453.23,23623.80,15739.22,28265.18,269411.25
Baseline,34694.97,37046.41,17945.88,23593.76,306483.61
Baseline,8801.90,6759.94,4819.64,19556.62,259794.25
Baseline,6198.65,14829.55,6983.96,15185.77,239388.39
Baseline,15998.15,11404.91,9625.73,19598.12,261084.24
